dataset,epoch,batch,similarity_rate,filters,decoder_filter_reverse,kernel_sizes,ed_only,loss_history,similarity_history,reconstruction_history,model,recon,mse,mae,common_nn,common_nn_kmeans,rand_index
GunPoint,10,10,0.0002,"[64, 32, 16]",True,"[5, 5, 5]",False,"[15.31806, 2.1294556, 1.4095843, 1.0191519, 0.8017858, 0.68507606, 0.5983287, 0.5395562, 0.49075615, 0.45503032]","[78.1665, 1.9122572, 1.190856, 0.909265, 0.76898175, 0.70425284, 0.5476106, 0.62939745, 0.53744006, 0.51213557]","[15.305489, 2.129499, 1.4096276, 1.019174, 0.8017931, 0.6850723, 0.59833866, 0.5395383, 0.49074683, 0.4550189]",two_encoder,0.0074602255382935,1.6146035416291415,3.8377331487617994,0.43333333333333335,3.5,1.0
GunPoint,10,10,0.0002,"[64, 32, 16]",False,"[5, 5, 5]",False,"[11.10963, 1.3859533, 0.9555651, 0.73227394, 0.6173651, 0.5458455, 0.4937778, 0.45372793, 0.4127544, 0.3897217]","[77.73082, 2.2381847, 1.5260288, 1.16547, 0.8787881, 0.78940654, 0.6860244, 0.58716303, 0.60196936, 0.52322674]","[11.096307, 1.385783, 0.955451, 0.7321873, 0.6173128, 0.5457966, 0.49373937, 0.45370102, 0.41271657, 0.38969508]",two_encoder,0.007629809257607367,1.8117412713862167,4.422462297409039,0.42,3.24,1.0
GunPoint,10,10,0.0005,"[64, 32, 16]",True,"[5, 5, 5]",False,"[15.72726, 1.9860916, 1.2673135, 0.95648515, 0.7641465, 0.6521282, 0.5737637, 0.5102073, 0.466023, 0.4278776]","[121.112785, 3.82402, 2.3385372, 1.8379067, 1.3917857, 1.1119902, 0.98879594, 0.8475076, 0.790987, 0.69099313]","[15.674538, 1.9851723, 1.2667775, 0.9560447, 0.76383257, 0.65189815, 0.5735561, 0.5100386, 0.46586046, 0.42774603]",two_encoder,0.007587038828688109,1.4880773435993446,3.390585620967901,0.41333333333333333,3.1066666666666665,1.0
GunPoint,10,10,0.0005,"[64, 32, 16]",False,"[5, 5, 5]",False,"[13.811479, 1.7863085, 1.0741557, 0.8371242, 0.6925915, 0.60974354, 0.5443578, 0.4996878, 0.45922413, 0.43311363]","[121.919525, 3.4857624, 2.1847074, 1.674602, 1.2131975, 1.0511807, 0.9395586, 0.8407762, 0.7390711, 0.6560162]","[13.757398, 1.7854584, 1.0736008, 0.8367051, 0.69233114, 0.6095228, 0.5441603, 0.49951696, 0.45908424, 0.43300202]",two_encoder,0.0068795524457905596,1.5107900792746387,3.087918176000081,0.41333333333333333,3.7333333333333334,1.0
GunPoint,10,10,0.0005,"[64, 32, 16]",True,"[5, 5, 5]",False,"[14.678083, 1.7162675, 1.1604459, 0.8678801, 0.71589196, 0.6161748, 0.54345655, 0.48963282, 0.43884084, 0.39859283]","[100.97068, 2.3726194, 1.6151507, 1.1869338, 1.0584289, 0.8701878, 0.7580741, 0.81856936, 0.60019547, 0.6551616]","[14.634918, 1.7159389, 1.1602182, 0.8677205, 0.7157207, 0.6160477, 0.54334927, 0.48946816, 0.4387601, 0.39846432]",two_encoder,0.0072111499579956655,1.5640169092327882,3.5274794385319135,0.37333333333333335,3.3133333333333335,1.0
GunPoint,10,10,0.0005,"[64, 32, 16]",False,"[5, 5, 5]",False,"[12.30994, 1.5319375, 1.0058085, 0.7760442, 0.63337785, 0.5523154, 0.49369362, 0.4518658, 0.4153094, 0.38795626]","[102.36636, 2.8660965, 1.9068911, 1.4959832, 1.1298225, 0.9927908, 0.88071406, 0.846329, 0.68355364, 0.6310274]","[12.264891, 1.53127, 1.0053579, 0.7756839, 0.6331294, 0.55209506, 0.49349993, 0.4516683, 0.4151752, 0.38783473]",two_encoder,0.008168053115828092,1.0215325401651234,1.687954323936898,0.37333333333333335,3.486666666666667,1.0
GunPoint,10,10,0.0005,"[64, 32, 16]",True,"[5, 5, 5]",False,"[12.6867895, 1.7340074, 1.1678301, 0.8894135, 0.73328197, 0.62863433, 0.55294913, 0.48724088, 0.43680227, 0.39695388]","[110.109985, 3.0322828, 1.9019423, 1.4848636, 1.2384229, 0.98749304, 0.8953796, 0.73020566, 0.63987064, 0.60935]","[12.638061, 1.7333581, 1.1674627, 0.8891156, 0.73302954, 0.6284546, 0.5527778, 0.48711935, 0.43670073, 0.39684764]",two_encoder,0.007744681590545826,1.7654289240066785,4.580633965187255,0.4066666666666667,3.526666666666667,1.0
GunPoint,10,10,0.0005,"[64, 32, 16]",False,"[5, 5, 5]",False,"[14.988743, 1.628535, 1.0754616, 0.82818896, 0.7117558, 0.62965375, 0.5634439, 0.5043005, 0.46345276, 0.41517112]","[76.13085, 2.2981744, 1.54727, 1.1515999, 0.98527, 0.9715179, 0.8025558, 0.60774577, 0.798595, 0.5795091]","[14.958158, 1.6282009, 1.0752252, 0.8280272, 0.71161896, 0.62948287, 0.56332433, 0.50424886, 0.46328506, 0.41508895]",two_encoder,0.007770294802133567,1.7452721709514436,4.11002971208236,0.38666666666666666,3.6066666666666665,1.0
GunPoint,10,10,0.001,"[64, 32, 16]",True,"[5, 5, 5]",False,"[12.937289, 1.9778665, 1.3040549, 0.984457, 0.7959418, 0.6777169, 0.59901226, 0.5312507, 0.48022652, 0.4424087]","[84.953354, 2.4042976, 1.5493627, 1.2250317, 1.03884, 0.79276955, 0.714499, 0.7030468, 0.5729768, 0.5913487]","[12.865202, 1.9774399, 1.3038093, 0.9842159, 0.7956987, 0.67760164, 0.5988967, 0.53107893, 0.48013365, 0.4422598]",two_encoder,0.008332170388182417,0.7823006783193192,0.9405704255079135,0.3933333333333333,3.6666666666666665,1.0
GunPoint,10,10,0.001,"[64, 32, 16]",False,"[5, 5, 5]",False,"[13.651851, 1.971107, 1.157069, 0.8404181, 0.6936682, 0.60373974, 0.5383625, 0.48984772, 0.44885585, 0.42095068]","[102.355354, 3.0152657, 2.0633855, 1.5151552, 1.2610233, 0.9716347, 0.853504, 0.765288, 0.72886467, 0.5949599]","[13.563063, 1.970062, 1.156162, 0.8397431, 0.69310033, 0.6033713, 0.5380472, 0.4895721, 0.44857547, 0.42077655]",two_encoder,0.010338973188677084,1.0256585407846643,1.5627601486297338,0.41333333333333333,3.6066666666666665,1.0
GunPoint,10,10,0.001,"[64, 32, 16]",True,"[5, 5, 5]",False,"[13.521381, 1.7429063, 1.1323993, 0.8118038, 0.6307175, 0.5452695, 0.48093936, 0.43870664, 0.40927646, 0.37306458]","[108.72301, 2.806024, 1.7373308, 1.3291082, 1.0095558, 0.891151, 0.7459928, 0.68345296, 0.6311613, 0.527872]","[13.4260845, 1.7418418, 1.1317937, 0.8112859, 0.63033855, 0.54492337, 0.4806739, 0.43846148, 0.4090544, 0.37290946]",two_encoder,0.008122977537153412,1.8576690186119718,4.9037473861242304,0.42,3.3333333333333335,1.0
GunPoint,10,10,0.001,"[64, 32, 16]",False,"[5, 5, 5]",False,"[14.655693, 2.209311, 1.374315, 1.0045286, 0.8015309, 0.68220407, 0.5962785, 0.54309756, 0.4973511, 0.4632212]","[63.953445, 2.1417959, 1.4524941, 1.1135463, 0.9032355, 0.7899534, 0.59624285, 0.54792583, 0.8257708, 0.47682223]","[14.606348, 2.2093792, 1.3742363, 1.0044194, 0.801429, 0.6820961, 0.5962788, 0.5430927, 0.4970223, 0.4632076]",two_encoder,0.007271487316507897,1.5561776493967905,3.277302861356015,0.3933333333333333,3.3466666666666667,1.0
GunPoint,10,10,0.001,"[64, 32, 16]",True,"[5, 5, 5]",False,"[16.502068, 2.2959917, 1.6209011, 1.2542771, 1.0200819, 0.8626535, 0.7328489, 0.6297063, 0.5468533, 0.47895867]","[75.05387, 2.0080137, 1.450277, 1.1697842, 0.96823835, 0.855696, 0.70862824, 0.655322, 0.6055484, 0.7345021]","[16.443459, 2.296279, 1.6210716, 1.2543614, 1.0201333, 0.8626603, 0.732873, 0.6296809, 0.5467948, 0.4787029]",two_encoder,0.007190818350491954,1.1902062262697697,1.9543993212230375,0.42,3.486666666666667,1.0
GunPoint,10,10,0.001,"[64, 32, 16]",False,"[5, 5, 5]",False,"[13.286544, 1.8253915, 1.1171068, 0.82964927, 0.68097305, 0.58556986, 0.52057844, 0.4712065, 0.4391623, 0.41208985]","[102.25139, 2.5226576, 1.6633834, 1.2992747, 1.030637, 0.788684, 0.72197056, 0.6009095, 0.5847465, 0.5516873]","[13.197484, 1.8246936, 1.1165597, 0.8291792, 0.68062305, 0.58536667, 0.5203768, 0.4710767, 0.43901676, 0.41195002]",two_encoder,0.0071200372490574475,2.076101460090799,5.982585215684015,0.3933333333333333,3.3733333333333335,1.0
GunPoint,10,10,1e-05,"[64, 32, 16]",True,"[5, 5, 5]",False,"[14.33991, 2.1182482, 1.3935571, 1.0350953, 0.8087863, 0.68712395, 0.6091015, 0.5389306, 0.5040615, 0.4648067]","[68.20555, 2.0569158, 1.2941732, 1.030557, 0.80870837, 0.7161892, 0.639205, 0.54753685, 0.61522776, 0.64645505]","[14.3393755, 2.118249, 1.3935579, 1.0350957, 0.8087859, 0.6871237, 0.6091011, 0.53893054, 0.5040605, 0.46480477]",two_encoder,0.006348930522360736,1.1646989028830188,2.542562417552858,0.4,3.4466666666666668,1.0
GunPoint,10,10,1e-05,"[64, 32, 16]",False,"[5, 5, 5]",False,"[12.944772, 1.6690396, 1.0612375, 0.80935514, 0.6614195, 0.57426584, 0.5022961, 0.45771277, 0.4184936, 0.39009455]","[82.59262, 2.1660056, 1.5114026, 1.1402447, 1.020984, 0.7547354, 0.68437314, 0.7126673, 0.66047084, 0.75791955]","[12.94407, 1.6690353, 1.0612326, 0.80935204, 0.6614163, 0.57426393, 0.50229436, 0.4577103, 0.41849113, 0.390091]",two_encoder,0.008490881421604752,1.8964870142667465,4.810346241866227,0.35333333333333333,3.3466666666666667,1.0
GunPoint,10,10,1e-05,"[64, 32, 16]",True,"[5, 5, 5]",False,"[17.13704, 2.1249335, 1.332775, 0.9973363, 0.7925472, 0.66933566, 0.5912046, 0.52482444, 0.47581023, 0.42800424]","[94.87829, 2.2737505, 1.3815908, 1.0750188, 0.8695744, 0.70537454, 0.6731081, 0.62140846, 0.6021759, 0.52270156]","[17.136257, 2.124931, 1.332774, 0.9973356, 0.79254663, 0.66933537, 0.59120405, 0.52482355, 0.47580916, 0.42800328]",two_encoder,0.007225301279355857,2.020515120654861,5.590200173391619,0.38666666666666666,3.54,1.0
GunPoint,10,10,1e-05,"[64, 32, 16]",False,"[5, 5, 5]",False,"[11.753472, 1.6788359, 1.1162828, 0.8520285, 0.7026992, 0.61111104, 0.5307147, 0.48173612, 0.44466132, 0.41821554]","[90.341705, 2.6196182, 1.7470152, 1.2948167, 1.0727733, 0.94010013, 0.76052076, 0.6810344, 0.6111735, 0.5778996]","[11.752695, 1.6788262, 1.116277, 0.8520237, 0.70269537, 0.61110777, 0.5307124, 0.4817339, 0.44465935, 0.4182141]",two_encoder,0.008993636196000661,1.1885265901510225,2.088617605559849,0.42,3.5,1.0
GunPoint,10,10,1e-05,"[64, 32, 16]",True,"[5, 5, 5]",False,"[16.772594, 2.1440675, 1.2593117, 0.9098089, 0.7412633, 0.6258932, 0.5502148, 0.48968372, 0.44169724, 0.40386993]","[79.7763, 2.5007298, 1.6578491, 1.2672324, 1.0892284, 0.8631112, 0.7617703, 0.64894664, 0.59982497, 0.658587]","[16.771965, 2.144064, 1.2593074, 0.9098051, 0.74125993, 0.625891, 0.5502127, 0.48968214, 0.4416955, 0.40386745]",two_encoder,0.006840350147800831,1.9181949449968771,5.1793855340176895,0.4266666666666667,3.2133333333333334,1.0
